AFFX-CreX-3_st,AC000061_cds3_at,AC002115_rna2_at,D43638_at,D87684_at,HG384-HT384_at,HG3987-HT4257_at,K01911_at,L05500_at,L27560_at,L33799_at,M20530_at,M26061_at,M55593_at,M84526_at,M96739_at,S71824_at,U21936_at,U31201_cds1_at,U37143_at,U60519_at,X12901_at,X15880_at,X15882_at,X54162_at,X54938_at,X56692_at,X58723_at,X71348_at,X99050_rna1_at,Y07604_at,D86974_at,AB000381_s_at,AF001787_s_at,J02947_s_at,U05012_s_at,U29943_s_at,CLASS
0.892285,-0.12549,-0.336384,-0.407321,-0.836215,0.124079,-0.397136,0.568837,0.404306,0.72235,0.286668,0.184524,-0.926868,-0.497571,0.462834,-0.330056,-0.603887,0.007407,0.39781,-0.38657,-0.507488,-0.114659,-0.462096,-0.593808,-0.535627,0.206554,0.111538,0.274131,0.64878,-0.369637,-0.197783,-0.582118,0.026596,0.141243,-0.601435,-0.449153,0.326775,normal
0.617176,0.364706,-0.3791,0.082555,-0.812557,-0.117132,-0.511217,0.340448,0.344498,-0.826047,-0.64093,0.22619,-0.844197,-0.929792,0.407334,-0.250652,-0.610366,-0.140741,0.726277,-0.067151,0.15807,0.390421,-0.665379,-0.817577,-0.186732,-0.414862,-0.426923,0.150579,0.307317,-0.50495,0.08204,-0.43114,-0.12766,0.258004,-0.670785,-0.370998,0.136182,normal
0.394469,-0.086275,-0.517925,-0.712617,-0.796785,-0.310268,-0.013365,0.101387,0.105263,-0.542875,-0.549559,0.303571,-0.868362,-0.53675,0.217047,-0.315754,-0.677001,0.219753,1,-0.088929,-0.011647,0.007257,-0.455577,-0.657802,-0.126536,-0.506144,0.180769,0.223938,0.463415,-0.415842,-0.117073,-0.903166,0.12766,0.145009,-0.455959,-0.339925,0.375346,normal
0.478894,-0.109804,0.148741,-0.387072,-0.455262,-0.656524,-0.754654,0.103522,-0.253589,0.106611,-0.110339,0.005952,-0.814308,-0.761479,0.508424,-0.783836,-0.696437,-0.185185,0.021898,-0.292196,-0.171381,0.233672,-0.282472,-0.408269,-0.114251,0.133996,0.042308,0.247104,0.780488,-0.039604,-0.057206,-0.863579,0.154255,0.043315,-0.74452,-0.625235,0.236397,normal
0.544396,-0.270588,0.589626,-0.130062,-0.129512,0.33639,-0.793795,0.325507,-0.311005,0.720816,0.641998,0.452381,-0.914149,-0.502272,0.567889,-0.353892,-0.459509,-0.002469,0.481752,-0.147005,0.121464,0.413643,0.585225,-0.03075,-0.194103,-0.028672,-0.1,0.289575,0.097561,-0.188119,-0.051441,-0.917988,0.223404,0.318267,-0.713432,-0.180791,0.543191,normal
0.836972,0.113725,1,-0.714953,0.131938,0.208837,-0.727924,0.329776,0.059809,0.756711,-0.0537,-0.065476,-0.867091,-0.800972,0.595639,-0.921639,-0.888015,-0.195062,0.79562,-0.248639,-0.414309,0.338171,-0.253742,-0.483898,-0.324324,-0.008777,-0.307692,0.258687,0.395122,-0.237624,0.019069,-0.879647,-0.037234,0.416196,-0.823834,-0.256121,0.076545,normal
0.882096,-0.133333,-0.270786,-0.857477,-0.651198,0.223287,-0.787589,0.11206,0.253589,0.313085,-0.048357,-0.196429,-0.925596,-0.329572,0.607532,1,-0.503933,-0.076543,0.729927,-0.117967,-0.168053,0.201742,-0.66055,-0.595678,-0.367322,-0.346987,-0.203846,0.316602,0.434146,-0.521452,-0.218182,-0.579891,-0.207447,0.386064,-0.700279,-0.017891,0.140486,normal
0.622999,-0.058824,0.17315,0.049065,-0.750682,-0.784077,-0.475895,0.240128,-0.375598,-0.806719,-0.793748,0.053571,-0.951033,-0.89406,0.048563,-0.272551,-0.332716,0.190123,0.087591,0.030853,-0.460899,0.384615,-0.45437,-0.605651,-0.237101,0.027501,-0.103846,0.196911,0.429268,-0.09901,0.062971,-0.395423,0.409574,-0.054614,-0.742128,-0.276836,0.141715,normal
0.048035,-0.282353,-0.11823,-0.83567,-0.427358,0.610949,-0.986158,0.270011,-0.490431,-0.064274,-0.549559,0.223214,-0.829571,-0.49569,0.361744,0.291471,-0.534475,0.051852,0.284672,-0.339383,-0.494176,0.332366,-0.684693,-0.64118,-0.679361,-0.102399,-0.1,0.42471,-0.278049,-0.349835,0.064745,-0.85862,0.244681,0.246704,-0.74452,-0.286252,0.282508,normal
0.36099,-0.203922,-0.577422,-0.800623,-0.855626,-0.235515,-0.427208,0.342583,0.344498,-0.853352,1,0.220238,-0.96566,1,0.373637,-0.79635,-0.737159,-0.071605,0.251825,-0.132486,0.051581,0.155298,-0.630613,-0.485768,-0.438575,-0.157402,-0.153846,-0.019305,1,-0.244224,0.243902,-0.654054,-0.244681,-0.088512,-0.663212,-0.461394,0.099908,normal
0.787482,0.298039,-0.15942,-0.657321,-0.878071,-0.759622,-0.533652,0.340448,0.284689,-0.903053,-0.538338,-0.041667,-0.864547,-0.334274,0.399405,-0.852216,-0.649236,0.160494,0.616788,-0.597096,-0.351082,0.079826,-0.644375,-0.570954,-0.498771,-0.695728,-0.565385,0.23166,-0.229268,-0.471947,0.04612,-0.833961,0.478723,0.359699,-0.716222,-0.596045,0.001537,normal
0.893741,-0.294118,-0.096873,0.189252,-0.856233,-0.071558,-0.401432,0.440768,-0.57177,-0.491026,-0.48918,-0.02381,-0.715103,-0.756778,0.621407,0.147561,-0.807497,-0.303704,0.551095,0.470054,-0.044925,0.283019,-0.695316,-0.851652,-0.227273,0.911059,0.446154,0.46332,0.097561,-0.0033,-0.388914,-0.931829,-0.053191,0.201507,-0.825428,-0.474576,-0.034122,cancer
0.704512,-0.105882,-0.154844,-0.391745,-0.92478,-0.516465,-0.524105,0.344717,0.62201,-0.797515,-0.790542,-0.410714,-0.910334,-0.932926,0.639247,-0.542793,-0.359556,-0.303704,0.616788,-0.056261,-0.181364,0.190131,-0.834621,-0.841679,-0.373464,-0.953189,-0.357692,0.138996,0.439024,-0.30363,0.133925,-0.816514,-0.159574,0.291902,-0.801913,-0.378531,0.198893,cancer
0.628821,0.298039,0.038902,-0.894081,-1,-0.190218,-0.488305,0.208111,0.648325,-0.816536,-0.613679,0.08631,-0.813037,-0.813509,0.940535,-1,-0.664044,-0.125926,0.540146,0.08167,-0.580699,0.454282,-0.703525,-0.688967,-0.353808,-0.391457,-0.473077,-0.135135,0.443902,-0.617162,0.439468,-0.56597,0.058511,0.314501,-0.801515,-0.52919,0.0581,cancer
0.68559,0.137255,-0.066362,-0.866822,-0.929633,-0.95915,-0.410979,0.319104,0.062201,-0.897837,-0.798557,-0.095238,-0.840382,-0.839837,-0.002973,-0.90987,-0.817677,-0.318519,0.244526,0.593466,-0.314476,-0.108853,-0.592467,-0.946811,-0.379607,-1,0.623077,0.528958,0.512195,-0.716172,-0.181818,-0.009996,-0.021277,0.548023,-0.793543,-0.723164,0.149093,cancer
0.804949,-0.294118,-0.231121,0.040498,-0.801638,-0.825761,-0.139857,0.547492,-0.162679,-0.815309,-0.697569,-0.425595,-0.764706,-0.826673,0.613479,-0.908231,-0.444702,-0.303704,0.273723,-0.143376,-1,0.802612,-0.375181,-0.8155,-0.632678,-0.057929,0.665385,0.486486,0.736585,-0.128713,0.522395,-0.242059,0.047872,0.416196,-0.562774,-0.667608,0.120197,cancer
0.848617,0.113725,-0.188406,-0.469626,-0.824689,-0.720717,-0.545107,0.538954,0.411483,-0.912256,-0.946033,-0.25,-0.867727,-0.777151,0.50446,-0.934004,-0.550208,-0.135802,0.642336,-0.103448,-0.301165,0.24238,-0.796958,-0.835861,-0.318182,-0.273259,-0.8,0.19305,0.112195,-0.610561,0.298891,-0.655513,-0.234043,0.288136,-0.756875,-0.542373,0.166308,cancer
0.72198,-0.286275,-0.028223,-0.552181,-0.511071,-0.520634,-0.505012,0.3746,-0.325359,-0.385182,-0.357734,-0.556548,-0.917329,-0.866792,0.621407,-0.563948,-0.938917,0.111111,0.59854,-0.052632,-0.460899,0.056604,-0.478996,-0.636609,-0.445946,0.251024,-0.2,0.567568,0.107317,-0.465347,0.31929,-0.932863,-0.218085,0.344633,-0.850139,-0.528249,0.120812,cancer
0.75837,-0.066667,-0.231121,-1,-0.850167,-0.919967,-0.673508,0.545358,1,-0.698727,-0.697569,0.1875,-0.867727,-0.721674,1,-0.767449,-0.258677,0.076543,0.437956,0.245009,-0.620632,0.709724,-0.759536,-0.710991,-0.228501,0.225278,-0.215385,0.440154,0.229268,-0.273927,-0.299335,-1,-0.069149,0.318267,-0.693503,-0.397363,0.166308,cancer
0.826783,-0.376471,-0.135011,-0.817757,-0.662724,-0.368904,-0.489737,0.519744,-0.136364,-0.850897,-0.714667,-0.116071,-0.912242,-0.817583,0.401388,-0.948007,-0.876909,0.106173,0.649635,-0.08167,-0.630616,0.332366,-0.884597,-0.820278,-0.261671,0.218256,-0.457692,0.220077,-0.136585,-0.39604,-0.209313,-0.956144,0.111702,0.450094,-0.831008,-0.524482,0.147864,cancer
0.743814,0.05098,0.620137,-0.920561,-0.805884,-0.266917,-0.543198,0.423693,0.313397,-0.752109,-0.720011,-0.172619,-0.878537,-0.89124,0.631318,-0.99851,-0.955576,-0.37284,0.675182,-0.183303,-0.447587,0.477504,-0.769194,-0.267193,-0.367322,-0.406671,-0.442308,0.208494,0.341463,-0.115512,0.199113,-0.500398,-0.047872,0.322034,-0.785173,-0.460452,0.068552,cancer
0.703057,-0.286275,-0.072464,-0.209502,-0.905975,-0.861331,-0.680668,0.197439,0.301435,-0.877895,-0.779856,-0.41369,-0.793323,-0.912866,0.264618,-0.939367,-0.908376,-0.224691,0.558394,-0.143376,-0.287854,0.088534,-0.703283,-0.768544,-0.427518,-0.295494,-0.276923,0.281853,0.268293,-0.60066,0.13969,-0.347961,0.106383,0.254237,-0.669589,-0.5,0.209345,cancer
0.842795,-0.145098,-0.197559,-0.951713,-0.940552,0.004029,-0.5642,0.387407,0.148325,-0.920847,-0.724285,-0.327381,-0.89062,-0.90315,0.567889,-0.982421,-1,-0.42716,0.554745,-0.161525,-0.607321,0.166909,-1,-0.879077,-0.298526,-0.251024,-0.25,0.100386,0.521951,-0.673267,-0.282927,-0.924166,0.06383,0.642185,-0.855719,-0.572505,0.111589,cancer
0.710335,-0.027451,-0.151793,-0.793614,-0.917501,-0.111574,-0.661098,0.479189,0.42823,-0.56435,-0.76062,-0.279762,-0.845469,-0.618242,0.567889,-0.683426,-0.78621,-0.614815,0.383212,-0.168784,-0.687188,0.24238,-0.64534,-0.827343,-0.443489,-0.341135,-0.565385,0.281853,0.44878,-0.534653,0.560089,-0.797343,0.223404,0.694915,-0.693902,-0.516008,0.100523,cancer
0.60262,1,-0.046529,-0.981308,-0.948438,-0.468945,-0.697852,0.270011,-0.485646,-0.84875,-0.685279,-0.517857,-0.799046,-0.612913,-0.750248,-0.940857,-0.839889,-0.451852,0.645985,0.451906,-0.477537,0.506531,-0.556736,-0.84064,-0.525799,-0.875951,-1,0.486486,0.239024,0.287129,0.521064,-0.717956,-1,0.212806,-0.825827,-0.735405,-0.028589,cancer
0.679767,0.007843,0.109077,-0.205607,-0.493479,-0.269696,-0.695943,0.308431,-0.086124,-0.771437,-0.717873,0.169643,-0.912242,-0.830121,0.528246,-0.617132,-0.812124,0.150617,0.525547,0.023593,-0.753744,0.509434,-0.702318,-0.814461,-0.32801,-0.10825,-0.269231,0.285714,0.356098,-0.570957,-0.063415,-0.951477,-0.021277,0.408663,-0.89438,-0.37194,0.165078,cancer
0.576419,-0.188235,0.327231,0.024143,-0.782226,-0.693483,-0.347971,0.515475,0.576555,-0.823593,-0.522843,0.119048,-0.821304,-0.732017,0.236868,-0.640968,-0.342897,-0.491358,0.981752,0.441016,-0.470882,0.265602,-0.299614,-0.762726,-0.330467,-0.338795,0.523077,-0.054054,0.473171,0.158416,-0.107761,0.138728,0.170213,0.435028,-0.648067,-0.443503,0.145404,cancer
0.710335,-0.576471,0.568268,-0.104361,-0.944798,-0.823538,-0.718377,0.462113,0.42823,-0.307256,-0.262624,-0.574405,-0.513514,-0.711331,0.086224,-0.838212,-0.660342,0.367901,0.722628,0.009074,-0.920133,-0.149492,-0.218011,-0.395595,-1,0.596255,0.588462,0.57529,0.64878,-0.224422,0.12816,-0.434719,-0.143617,0.193974,-0.832204,-0.562147,0.182908,cancer
0.659389,-1,-1,-0.989875,-0.534122,-0.611783,0.397613,0.237994,0.019139,-0.235466,-0.300027,-0.065476,-0.909698,-0.668077,0.468781,-0.872626,-0.822304,0.219753,0.375912,0.444646,0.018303,0.164006,-0.497586,-0.862871,-0.264128,1,1,-0.498069,-0.117073,-1,1,-0.675903,-0.143617,0.853107,1,0.491525,-0.030433,cancer
0.487627,-0.14902,0.177727,-0.771807,-0.502578,-0.369182,-0.440095,0.073639,0.038278,-0.739837,-0.603527,0.22619,-0.831479,-0.736092,0.387512,-0.57959,-0.059695,0.091358,0.543796,-0.027223,-0.50416,0.532656,-0.766779,-0.935799,-0.431204,0.420714,0.219231,0.471042,0.346341,0.049505,-0.200887,-0.863579,0.159574,0.348399,-0.970108,-0.086629,0.205656,cancer
0.815138,0.015686,0.147216,-0.876168,-0.232029,-0.493122,-0.526014,0.408751,0.138756,-0.735235,-0.671387,0.264881,-0.860095,-0.711017,0.95441,-0.920745,-0.932439,-0.303704,0.543796,-0.034483,-0.341098,0.483309,-0.956543,-0.822772,-0.341523,-0.461673,-0.126923,0.374517,0.468293,-0.587459,0.157871,-0.940897,0.042553,0.201507,-0.712236,-0.567797,0.089456,cancer
0.652111,-0.270588,0.728452,1,0.122232,-0.049326,-0.488305,0.611526,-0.478469,-0.03114,-0.521774,0.428571,-0.797138,-0.767748,0.468781,-0.7746,-0.73068,-0.279012,0.124088,0.172414,-0.980033,0.105951,-0.392805,-0.58903,-0.654791,0.332943,0.111538,0.606178,0.292683,1,-0.013747,-0.944212,-0.25,0.468927,-0.55281,-0.975518,-1,cancer
