AF001787_s_at,M55593_at,U29943_s_at,X99050_rna1_at,HG384-HT384_at,AFFX-CreX-3_st,X58723_at,M96739_at,M84526_at,U22961_s_at,X71348_at,X54938_at,HG3987-HT4257_at,D86479_at,D43638_at,U37143_at,X54162_at,X80230_at,M64099_at,D87684_at,L33799_at,M20530_at,L27560_at,X12901_at,U31201_cds1_at,J02947_s_at,AB000381_s_at,D86974_at,X15882_at,M34181_at,L78833_cds2_at,AC000061_cds3_at,U60519_at,L05500_at,M26061_at,X56692_at,AF000430_at,D42108_at,M90696_at,X15880_at,U21936_at,S71824_at,Y07604_at,U05012_s_at,D83243_at,X69636_at,AC002115_rna2_at,M21574_at,U43747_s_at,J04760_at,HG2994-HT4850_s_at,D50683_at,L13923_at,L33243_at,U13616_at,L02840_at,K01911_at,Z11793_at,CLASS
0.141243,-0.497571,0.326775,-0.369637,0.124079,0.892285,0.274131,-0.330056,0.462834,0.292181,0.64878,0.206554,-0.397136,0.437743,-0.407321,-0.38657,-0.535627,-0.762665,0.121745,-0.836215,0.286668,0.184524,0.72235,-0.114659,0.39781,-0.601435,0.026596,-0.582118,-0.593808,-0.931607,-0.097192,-0.12549,-0.507488,0.404306,-0.926868,0.111538,-0.141243,-0.77244,0.130268,-0.462096,0.007407,-0.603887,-0.197783,-0.449153,-0.473538,0.052288,-0.336384,-0.927504,-0.689431,0.436542,-0.303879,-0.416947,0.078772,-0.248386,0.246925,-0.760541,0.568837,-0.58895,normal
0.258004,-0.929792,0.136182,-0.50495,-0.117132,0.617176,0.150579,-0.250652,0.407334,0.119342,0.307317,-0.414862,-0.511217,-0.842412,0.082555,-0.067151,-0.186732,-0.801917,-0.473307,-0.812557,-0.64093,0.22619,-0.826047,0.390421,0.726277,-0.670785,-0.12766,-0.43114,-0.817577,-0.884221,-0.010799,0.364706,0.15807,0.344498,-0.844197,-0.426923,0.087006,-0.613148,0.1341,-0.665379,-0.140741,-0.610366,0.08204,-0.370998,-0.469359,-0.246732,-0.3791,-0.983911,-0.500813,0.461244,-0.934701,-0.723605,-0.94526,-0.0452,0.313781,-0.766788,0.340448,-0.716022,normal
0.145009,-0.53675,0.375346,-0.415842,-0.310268,0.394469,0.223938,-0.315754,0.217047,0.037037,0.463415,-0.506144,-0.013365,-0.61965,-0.712617,-0.088929,-0.126536,-0.665906,-0.373698,-0.796785,-0.549559,0.303571,-0.542875,0.007257,1,-0.455959,0.12766,-0.903166,-0.657802,-0.701026,0.389489,-0.086275,-0.011647,0.105263,-0.868362,0.180769,-0.224859,-0.213654,0.666667,-0.455577,0.219753,-0.677001,-0.117073,-0.339925,-0.428969,0.045752,-0.517925,-0.954796,-0.804878,0.034072,-0.663472,-0.825824,-1,-0.205051,0.525071,-0.617907,0.101387,-0.692818,normal
0.043315,-0.761479,0.236397,-0.039604,-0.656524,0.478894,0.247104,-0.783836,0.508424,-0.251029,0.780488,0.133996,-0.754654,0.783074,-0.387072,-0.292196,-0.114251,-0.320858,0.116536,-0.455262,-0.110339,0.005952,0.106611,0.233672,0.021898,-0.74452,0.154255,-0.863579,-0.408269,-0.608207,0.089993,-0.109804,-0.171381,-0.253589,-0.814308,0.042308,0.297175,-0.522124,0.076628,-0.282472,-0.185185,-0.696437,-0.057206,-0.625235,0.062674,0.493464,0.148741,-0.97121,-0.557724,0.370528,0.043582,-0.453262,-0.098798,-0.251543,0.32135,-0.781364,0.103522,-0.562431,normal
0.318267,-0.502272,0.543191,-0.188119,0.33639,0.544396,0.289575,-0.353892,0.567889,0.246914,0.097561,-0.028672,-0.793795,0.558366,-0.130062,-0.147005,-0.194103,-0.663168,0.792969,-0.129512,0.641998,0.452381,0.720816,0.413643,0.481752,-0.713432,0.223404,-0.917988,-0.03075,-0.569614,-0.303096,-0.270588,0.121464,-0.311005,-0.914149,-0.1,0.105085,-0.537295,0.555556,0.585225,-0.002469,-0.459509,-0.051441,-0.180791,-0.006964,0.055556,0.589626,-0.935125,-0.539837,0.581772,-0.178224,1,-0.387183,-0.230019,0.373699,-0.739719,0.325507,0.649724,normal
0.416196,-0.800972,0.076545,-0.237624,0.208837,0.836972,0.258687,-0.921639,0.595639,0.09465,0.395122,-0.008777,-0.727924,0.406615,-0.714953,-0.248639,-0.324324,-0.742583,0.157552,0.131938,-0.0537,-0.065476,0.756711,0.338171,0.79562,-0.823834,-0.037234,-0.879647,-0.483898,-0.920371,-0.186465,0.113725,-0.414309,0.059809,-0.867091,-0.307692,-0.188701,-0.671302,0.072797,-0.253742,-0.195062,-0.888015,0.019069,-0.256121,-0.332869,-0.686275,1,-0.965283,-0.830894,0.506388,0.242324,-0.373235,-0.016021,-0.264457,-0.231788,-0.573139,0.329776,-0.676243,normal
0.386064,-0.329572,0.140486,-0.521452,0.223287,0.882096,0.316602,1,0.607532,0.539095,0.434146,-0.346987,-0.787589,-0.479572,-0.857477,-0.117967,-0.367322,-0.748973,-0.059896,-0.651198,-0.048357,-0.196429,0.313085,0.201742,0.729927,-0.700279,-0.207447,-0.579891,-0.595678,-0.760625,-0.166307,-0.133333,-0.168053,0.253589,-0.925596,-0.203846,-0.292655,-0.522124,-0.007663,-0.66055,-0.076543,-0.503933,-0.218182,-0.017891,-0.311978,0.178105,-0.270786,-0.957141,-0.77561,0.462521,-0.247866,-0.558171,-0.648865,-0.044339,0.076001,-0.497137,0.11206,-0.58895,normal
-0.054614,-0.89406,0.141715,-0.09901,-0.784077,0.622999,0.196911,-0.272551,0.048563,0.098765,0.429268,0.027501,-0.475895,-0.449416,0.049065,0.030853,-0.237101,-0.475126,-0.236979,-0.750682,-0.793748,0.053571,-0.806719,0.384615,0.087591,-0.742128,0.409574,-0.395423,-0.605651,-0.760625,-0.085673,-0.058824,-0.460899,-0.375598,-0.951033,-0.103846,0.245198,-0.590392,-0.015326,-0.45437,0.190123,-0.332716,0.062971,-0.276836,-0.334262,-0.120915,0.17315,-0.989774,-0.604878,0.342419,-0.902651,-0.763282,-0.670227,0.037452,0.243772,-0.373243,0.240128,-0.745856,normal
0.246704,-0.49569,0.282508,-0.349835,0.610949,0.048035,0.42471,0.291471,0.361744,0.279835,-0.278049,-0.102399,-0.986158,-0.42607,-0.83567,-0.339383,-0.679361,-0.863076,-0.405599,-0.427358,-0.549559,0.223214,-0.064274,0.332366,0.284672,-0.74452,0.244681,-0.85862,-0.64118,-0.492428,-0.110151,-0.282353,-0.494176,-0.490431,-0.829571,-0.1,-0.053107,-0.337547,0.32567,-0.684693,0.051852,-0.534475,0.064745,-0.286252,-0.204735,0.20098,-0.11823,-0.977202,-0.573984,0.602215,1,-0.753867,-0.425901,-0.131009,-0.046358,-0.62936,0.270011,-0.304972,normal
-0.088512,1,0.099908,-0.244224,-0.235515,0.36099,-0.019305,-0.79635,0.373637,0.353909,1,-0.157402,-0.427208,-0.603113,-0.800623,-0.132486,-0.438575,-0.771794,-0.622396,-0.855626,1,0.220238,-0.853352,0.155298,0.251825,-0.663212,-0.244681,-0.654054,-0.485768,-0.954079,-0.210943,-0.203922,0.051581,0.344498,-0.96566,-0.153846,-0.116384,-0.926675,0.344828,-0.630613,-0.071605,-0.737159,0.243902,-0.461394,-0.487465,-0.235294,-0.577422,-0.961765,-0.621138,0.352215,-0.70945,-0.720915,-0.531375,-0.108624,0.147903,-0.582509,0.342583,-0.827624,normal
0.359699,-0.334274,0.001537,-0.471947,-0.759622,0.787482,0.23166,-0.852216,0.399405,0.296296,-0.229268,-0.695728,-0.533652,-1,-0.657321,-0.597096,-0.498771,-1,-0.474609,-0.878071,-0.538338,-0.041667,-0.903053,0.079826,0.616788,-0.716222,0.478723,-0.833961,-0.570954,-0.907181,-0.317495,0.298039,-0.351082,0.284689,-0.864547,-0.565385,0.215819,-0.954488,0.16092,-0.644375,0.160494,-0.649236,0.04612,-0.596045,-0.844011,-0.604575,-0.15942,-0.996092,-0.689431,0.193782,-0.236633,-0.739744,-0.519359,-0.299756,0.077893,-0.75013,0.340448,-0.876243,normal
0.201507,-0.756778,-0.034122,-0.0033,-0.071558,0.893741,0.46332,0.147561,0.621407,0.432099,0.097561,0.911059,-0.401432,-0.389105,0.189252,0.470054,-0.227273,-0.778183,-0.279948,-0.856233,-0.48918,-0.02381,-0.491026,0.283019,0.551095,-0.825428,-0.053191,-0.931829,-0.851652,-0.924768,-0.025198,-0.294118,-0.044925,-0.57177,-0.715103,0.446154,-0.037288,-0.410872,0.130268,-0.695316,-0.303704,-0.807497,-0.388914,-0.474576,-0.412256,-0.383987,-0.096873,-0.974792,-0.879675,0.720613,-0.530927,-0.671822,-0.40721,-0.355718,0.040681,-0.953149,0.440768,0.583425,cancer
0.291902,-0.932926,0.198893,-0.30363,-0.516465,0.704512,0.138996,-0.542793,0.639247,0.1893,0.439024,-0.953189,-0.524105,-0.814202,-0.391745,-0.056261,-0.373464,-0.889548,-0.466146,-0.92478,-0.790542,-0.410714,-0.797515,0.190131,0.616788,-0.801913,-0.159574,-0.816514,-0.841679,-0.940889,-0.094312,-0.105882,-0.181364,0.62201,-0.910334,-0.357692,-0.00339,-0.724399,0.042146,-0.834621,-0.303704,-0.359556,0.133925,-0.378531,-0.610028,-0.522876,-0.154844,-0.985605,-0.95122,0.460818,-0.963756,-0.778077,-0.890521,-0.194432,0.165563,-0.890682,0.344717,-0.762431,cancer
0.314501,-0.813509,0.0581,-0.617162,-0.190218,0.628821,-0.135135,-1,0.940535,0.160494,0.443902,-0.391457,-0.488305,-0.641051,-0.894081,0.08167,-0.353808,-0.869466,-0.400391,-1,-0.613679,0.08631,-0.816536,0.454282,0.540146,-0.801515,0.058511,-0.56597,-0.688967,-1,-0.478762,0.298039,-0.580699,0.648325,-0.813037,-0.473077,-0.181921,-1,-0.130268,-0.703525,-0.125926,-0.664044,0.439468,-0.52919,-0.612813,-0.568627,0.038902,-0.987233,-0.821138,0.444634,-0.92272,-0.73033,-0.684913,-0.342517,0.113213,-0.819885,0.208111,-0.739227,cancer
0.548023,-0.839837,0.149093,-0.716172,-0.95915,0.68559,0.528958,-0.90987,-0.002973,0.255144,0.512195,-1,-0.410979,-0.690661,-0.866822,0.593466,-0.379607,-0.694204,-0.863932,-0.929633,-0.798557,-0.095238,-0.897837,-0.108853,0.244526,-0.793543,-0.021277,-0.009996,-0.946811,-0.962384,-0.426926,0.137255,-0.314476,0.062201,-0.840382,0.623077,-0.087006,-1,0.183908,-0.592467,-0.318519,-0.817677,-0.181818,-0.723164,-0.711699,-0.202614,-0.066362,-0.987038,-0.549593,0.566014,-0.893815,-0.833894,-0.813084,-0.302339,0.178177,-0.470068,0.319104,-0.807735,cancer
0.416196,-0.826673,0.120197,-0.128713,-0.825761,0.804949,0.486486,-0.908231,0.613479,0.567901,0.736585,-0.057929,-0.139857,-0.718872,0.040498,-0.143376,-0.632678,-0.498859,-0.45638,-0.801638,-0.697569,-0.425595,-0.815309,0.802612,0.273723,-0.562774,0.047872,-0.242059,-0.8155,-0.8383,-0.429806,-0.294118,-1,-0.162679,-0.764706,0.665385,-0.084746,-0.403287,0.279693,-0.375181,-0.303704,-0.444702,0.522395,-0.667608,-0.415042,0.174837,-0.231121,-0.984563,-0.793496,0.418654,-0.801108,-0.739744,-0.546061,0.042043,0.137181,-0.146278,0.547492,-0.731492,cancer
0.288136,-0.777151,0.166308,-0.610561,-0.720717,0.848617,0.19305,-0.934004,0.50446,0.390947,0.112195,-0.273259,-0.545107,-0.890078,-0.469626,-0.103448,-0.318182,-0.785486,-0.548828,-0.824689,-0.946033,-0.25,-0.912256,0.24238,0.642336,-0.756875,-0.234043,-0.655513,-0.835861,-0.847093,0.026638,0.113725,-0.301165,0.411483,-0.867727,-0.8,0.105085,-0.737042,0.241379,-0.796958,-0.135802,-0.550208,0.298891,-0.542373,-0.679666,-0.375817,-0.188406,-0.986517,-0.702439,0.457411,-0.98068,-0.818426,-0.894526,-0.392165,0.197729,-0.896929,0.538954,-0.78453,cancer
0.344633,-0.866792,0.120812,-0.465347,-0.520634,0.72198,0.567568,-0.563948,0.621407,-0.037037,0.107317,0.251024,-0.505012,-0.015564,-0.552181,-0.052632,-0.445946,-0.840256,-0.223958,-0.511071,-0.357734,-0.556548,-0.385182,0.056604,0.59854,-0.850139,-0.218085,-0.932863,-0.636609,-0.962384,-0.285817,-0.286275,-0.460899,-0.325359,-0.917329,-0.2,-0.19322,-0.681416,-0.118774,-0.478996,0.111111,-0.938917,0.31929,-0.528249,-0.559889,-0.343137,-0.028223,-0.981436,-0.691057,0.472317,-0.343717,-0.682582,-0.684913,-0.301191,-0.072217,-0.674128,0.3746,-0.733702,cancer
0.318267,-0.721674,0.166308,-0.273927,-0.919967,0.75837,0.440154,-0.767449,1,0.419753,0.229268,0.225278,-0.673508,-0.282101,-1,0.245009,-0.228501,-0.746235,-0.285807,-0.850167,-0.697569,0.1875,-0.698727,0.709724,0.437956,-0.693503,-0.069149,-1,-0.710991,-0.575476,0.468683,-0.066667,-0.620632,1,-0.867727,-0.215385,0.023729,-0.580278,0.183908,-0.759536,0.076543,-0.258677,-0.299335,-0.397363,-0.811978,-0.19281,-0.231121,-0.978179,-0.889431,0.472317,-0.799161,-0.792872,-0.93725,-0.212513,0.116367,-0.864654,0.545358,-0.670718,cancer
0.450094,-0.817583,0.147864,-0.39604,-0.368904,0.826783,0.220077,-0.948007,0.401388,0.576132,-0.136585,0.218256,-0.489737,-0.543774,-0.817757,-0.08167,-0.261671,-0.868553,-0.472005,-0.662724,-0.714667,-0.116071,-0.850897,0.332366,0.649635,-0.831008,0.111702,-0.956144,-0.820278,-0.668295,-0.308855,-0.376471,-0.630616,-0.136364,-0.912242,-0.457692,-0.019209,-0.914033,0.298851,-0.884597,0.106173,-0.876909,-0.209313,-0.524482,-0.604457,-0.308824,-0.135011,-0.99277,-0.656911,0.40247,-0.88393,-0.784129,-0.75968,-0.466781,0.084201,-0.697033,0.519744,-0.733702,cancer
0.322034,-0.89124,0.068552,-0.115512,-0.266917,0.743814,0.208494,-0.99851,0.631318,0.288066,0.341463,-0.406671,-0.543198,-0.750973,-0.920561,-0.183303,-0.367322,-0.726152,-0.455729,-0.805884,-0.720011,-0.172619,-0.752109,0.477504,0.675182,-0.785173,-0.047872,-0.500398,-0.267193,-0.955056,0.094312,0.05098,-0.447587,0.313397,-0.878537,-0.442308,-0.084746,-0.845765,0.072797,-0.769194,-0.37284,-0.955576,0.199113,-0.460452,-0.759053,-0.431373,0.620137,-0.96906,-0.627642,0.511499,-0.948031,-0.769334,-0.449933,-0.407376,0.161779,-0.952108,0.423693,-0.781215,cancer
0.254237,-0.912866,0.209345,-0.60066,-0.861331,0.703057,0.281853,-0.939367,0.264618,0.452675,0.268293,-0.295494,-0.680668,-0.705253,-0.209502,-0.143376,-0.427518,-0.790963,-0.51237,-0.905975,-0.779856,-0.41369,-0.877895,0.088534,0.558394,-0.669589,0.106383,-0.347961,-0.768544,-0.897411,0.026638,-0.286275,-0.287854,0.301435,-0.793323,-0.276923,-0.109605,-0.780025,0.306513,-0.703283,-0.224691,-0.908376,0.13969,-0.5,-0.612813,-0.405229,-0.072464,-0.984498,-0.746341,0.406729,-0.853377,-0.776732,-0.714286,-0.239202,0.164932,-0.850078,0.197439,-0.877348,cancer
0.642185,-0.90315,0.111589,-0.673267,0.004029,0.842795,0.100386,-0.982421,0.567889,0.292181,0.521951,-0.251024,-0.5642,-0.916342,-0.951713,-0.161525,-0.298526,-0.902328,-0.564453,-0.940552,-0.724285,-0.327381,-0.920847,0.166909,0.554745,-0.855719,0.06383,-0.924166,-0.879077,-0.964827,-0.409647,-0.145098,-0.607321,0.148325,-0.89062,-0.25,0.143503,-0.719343,0.022989,-1,-0.42716,-1,-0.282927,-0.572505,-0.811978,-0.501634,-0.197559,-0.99277,-0.760976,0.417376,-1,-0.754539,-0.990654,-0.410532,0.077263,-0.890682,0.387407,-0.825414,cancer
0.694915,-0.618242,0.100523,-0.534653,-0.111574,0.710335,0.281853,-0.683426,0.567889,0.300412,0.44878,-0.341135,-0.661098,-0.480545,-0.793614,-0.168784,-0.443489,-0.864902,-0.764323,-0.917501,-0.76062,-0.279762,-0.56435,0.24238,0.383212,-0.693902,0.223404,-0.797343,-0.827343,-0.961407,-0.451404,-0.027451,-0.687188,0.42823,-0.845469,-0.565385,-0.19774,-0.532238,0.256705,-0.64534,-0.614815,-0.78621,0.560089,-0.516008,-0.642061,-0.380719,-0.151793,-0.97121,-0.661789,0.4523,-0.820129,-0.776732,-0.857143,-0.185249,0.121413,-0.821968,0.479189,-0.725967,cancer
0.212806,-0.612913,-0.028589,0.287129,-0.468945,0.60262,0.486486,-0.940857,-0.750248,0.995885,0.239024,-0.875951,-0.697852,-0.181907,-0.981308,0.451906,-0.525799,-0.854861,-0.76888,-0.948438,-0.685279,-0.517857,-0.84875,0.506531,0.645985,-0.825827,-1,-0.717956,-0.84064,-0.96385,-1,1,-0.477537,-0.485646,-0.799046,-1,-0.084746,-0.752212,0.02682,-0.556736,-0.451852,-0.839889,0.521064,-0.735405,-0.598886,-1,-0.046529,-0.978049,-0.666667,0.419932,-0.772802,-0.830531,-0.700935,-0.298321,0.101861,-0.910463,0.270011,-0.581215,cancer
0.408663,-0.830121,0.165078,-0.570957,-0.269696,0.679767,0.285714,-0.617132,0.528246,0.1893,0.356098,-0.10825,-0.695943,-0.726654,-0.205607,0.023593,-0.32801,-0.763578,-0.451172,-0.493479,-0.717873,0.169643,-0.771437,0.509434,0.525547,-0.89438,-0.021277,-0.951477,-0.814461,-0.613092,-0.094312,0.007843,-0.753744,-0.086124,-0.912242,-0.269231,-0.050847,-0.638432,0.118774,-0.702318,0.150617,-0.812124,-0.063415,-0.37194,-0.623955,-0.302288,0.109077,-0.978114,-0.621138,0.314736,-0.505167,-0.800941,-0.810414,-0.206773,0.421003,-0.868818,0.308431,-0.441989,cancer
0.435028,-0.732017,0.145404,0.158416,-0.693483,0.576419,-0.054054,-0.640968,0.236868,0.987654,0.473171,-0.338795,-0.347971,-0.30642,0.024143,0.441016,-0.330467,-0.500685,-0.604167,-0.782226,-0.522843,0.119048,-0.823593,0.265602,0.981752,-0.648067,0.170213,0.138728,-0.762726,-0.667807,0.182145,-0.188235,-0.470882,0.576555,-0.821304,0.523077,0.046328,-0.663717,-0.149425,-0.299614,-0.491358,-0.342897,-0.107761,-0.443503,-0.299443,0.26634,0.327231,-0.980134,-0.856911,0.613714,-0.603265,-0.66039,-0.550067,1,0.514349,-0.421135,0.515475,-0.427624,cancer
0.193974,-0.711331,0.182908,-0.224422,-0.823538,0.710335,0.57529,-0.838212,0.086224,0.1893,0.64878,0.596255,-0.718377,-1,-0.104361,0.009074,-1,-0.86764,-0.242839,-0.944798,-0.262624,-0.574405,-0.307256,-0.149492,0.722628,-0.832204,-0.143617,-0.434719,-0.395595,-0.924768,-0.902088,-0.576471,-0.920133,0.42823,-0.513514,0.588462,-0.477966,-0.860936,0.114943,-0.218011,0.367901,-0.660342,0.12816,-0.562147,-1,-0.236928,0.568268,-0.980329,-0.757724,0.454003,-0.751385,-0.568258,-0.688919,-0.258717,0.187007,-0.434669,0.462113,-0.748066,cancer
0.853107,-0.668077,-0.030433,-1,-0.611783,0.659389,-0.498069,-0.872626,0.468781,0.683128,-0.117073,1,0.397613,-0.164397,-0.989875,0.444646,-0.264128,-0.511639,-0.245443,-0.534122,-0.300027,-0.065476,-0.235466,0.164006,0.375912,1,-0.143617,-0.675903,-0.862871,-0.857352,0.589633,-1,0.018303,0.019139,-0.909698,1,0.016949,-0.979772,0.245211,-0.497586,0.219753,-0.822304,1,0.491525,-0.154596,-0.379085,-1,1,-0.746341,0.946763,-0.723229,-0.570948,-0.739653,-0.218539,0.205298,-0.641853,0.237994,-0.465193,cancer
0.348399,-0.736092,0.205656,0.049505,-0.369182,0.487627,0.471042,-0.57959,0.387512,0.695473,0.346341,0.420714,-0.440095,-0.133268,-0.771807,-0.027223,-0.431204,-0.649475,-0.454427,-0.502578,-0.603527,0.22619,-0.739837,0.532656,0.543796,-0.970108,0.159574,-0.863579,-0.935799,-0.687836,-0.154788,-0.14902,-0.50416,0.038278,-0.831479,0.219231,-0.039548,-0.560051,0.168582,-0.766779,0.091358,-0.059695,-0.200887,-0.086629,-0.182451,-0.196078,0.177727,-0.993552,-0.76748,0.571124,-0.953871,-0.862811,-0.683578,-0.469077,0.087985,-0.834461,0.073639,-0.750276,cancer
